"Key","Administration","Party","Department","Name","LastName","ServiceStart","ServiceEnd","DeptScandalFlag","ScandalFlag","ScandalDesc","EduDesc","Bachelors","Masters","MD","Law","Doctorate","MilitaryService","MilitaryDatesServed","MilitaryBranch","Gender","ForeignBorn","Minority","DiedOffice","SenateVotesFor","SenateVotesAgainst","NotesDiscrepancies","","","","","","","","","",""
"104","Jackson","Democrat","Attorney General","Roger B. Taney","Taney","1831-07-20","1833-09-23","","","","Dickinson College (BA)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"105","Jackson","Democrat","Attorney General","Benjamin F. Butler","Butler","1833-11-18","1837-03-03","","","","Colby College","1","","","1","","","","","1","0","0","0","nr","nr","Listed as 1834 in CRS_1985_GOV_0034; Colby College not listed in Sobel et al.","","","","","","","","","",""
"106","Jackson","Democrat","Secretary of the Navy","John Branch","Branch","1829-03-09","1831-05-12","","","","University of North Carolina, Chapel Hill (grad.)","1","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"107","Jackson","Democrat","Secretary of the Navy","Levi Woodbury","Woodbury","1831-05-23","1834-06-30","","","","Dartmouth College (BA); Litchfield Law School","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"108","Jackson","Democrat","Secretary of the Navy","Mahlon Dickerson","Dickerson","1834-06-30","1837-03-03","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"109","Jackson","Democrat","Postmaster General","William T. Barry","Barry","1829-03-04","1835-05-01","","","","Transylvania University (grad.); William and Mary College","1","","","1","","ADC","War of 1812","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"110","Jackson","Democrat","Postmaster General","Amos Kendall","Kendall","1835-05-01","1837-03-03","","","","Dartmouth College (grad.)","1","","","1","","","","","1","0","0","0","25","7","","","","","","","","","","",""
"111","Van Buren","Democrat","President","Martin Van Buren","Van Buren","1837-03-04","1841-03-03","","","","read law","","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"112","Van Buren","Democrat","Vice President","Richard Mentor Johnson","Johnson","1837-03-04","1841-03-03","","","","Transylvania University","","","","1","","col.","War of 1812","Army","1","0","0","0","eo","eo","","","","","","","","","","",""
"113","Van Buren","Democrat","Secretary of State","John Forsyth","Forsyth","1837-03-04","1841-03-03","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","pa","pa","Princeton not listed in Sobel et al., but confirmed in Biographical Directory of the United States Congress","","","","","","","","","",""
"114","Van Buren","Democrat","Secretary of the Treasury","Levi Woodbury","Woodbury","1837-03-04","1841-03-03","","","","Dartmouth College (BA); Litchfield Law School","1","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"115","Van Buren","Democrat","Secretary of War","Joel R. Poinsett","Poinsett","1837-03-14","1841-03-03","","","","St. Paul's School, Scotland; Woolwich Military Academy (England)","","","1","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"116","Van Buren","Democrat","Attorney General","Benjamin F. Butler","Butler","1837-03-04","1838-07-05","","","","Colby College","1","","","1","","","","","1","0","0","0","pa","pa","Colby College not listed in Sobel et al.","","","","","","","","","",""
"117","Van Buren","Democrat","Attorney General","Felix Grundy","Grundy","1838-09-01","1840-01-11","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"118","Van Buren","Democrat","Attorney General","Henry D. Gilpin","Gilpin","1840-01-11","1841-03-03","","","","University of Pennsylvania (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"119","Van Buren","Democrat","Postmaster General","Amos Kendall","Kendall","1837-03-04","1840-05-19","","","","Dartmouth College (grad.)","1","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
